name,iata_code
Rimouski Airport,YXK
Sioux Lookout Airport,YXL
Prince George Airport,YXS
Northwest Regional Airport Terrace-Kitimat,YXT
London Airport,YXU
Abbotsford International Airport,YXX
Whitehorse / Erik Nielsen International Airport,YXY
North Bay Jack Garland Airport,YYB
Calgary International Airport,YYC
Smithers Airport,YYD
Fort Nelson Airport,YYE
Penticton Airport,YYF
Charlottetown Airport,YYG
Victoria International Airport,YYJ
Lynn Lake Airport,YYL
Churchill Airport,YYQ
Goose Bay Airport,YYR
St. John's International Airport,YYT
Mont Joli Airport,YYY
Toronto Lester B. Pearson International Airport,YYZ
Yellowknife International Airport,YZF
Sandspit Airport,YZP
Coral Harbour Airport,YZS
Port Hardy Airport,YZT
Whitecourt Airport,YZU
Sept-Îles Airport,YZV
Bathurst Airport,ZBF
Masset Airport,ZMT
Sandy Lake Airport,ZSJ
Soummam–Abane Ramdane Airport,BJA
Houari Boumediene Airport,ALG
Djanet Inedbirene Airport,DJG
Illizi Takhamalt Airport,VVZ
Ain Arnat Airport,QSF
Aguenar – Hadj Bey Akhamok Airport,TMR
Jijel Ferhat Abbas Airport,GJL
Annaba Rabah Bitat Airport,AAE
Mohamed Boudiaf International Airport,CZL
Cheikh Larbi Tébessi Airport,TEE
Batna Mostefa Ben Boulaid Airport,BLJ
Tindouf Airport,TIN
Chlef Aboubakr Belkaid International Airport,CFK
Zenata – Messali El Hadj Airport,TLM
Oran Es-Sénia (Ahmed Ben Bella) International Airport,ORN
Béchar Boudghene Ben Ali Lotfi Airport,CBH
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR
Biskra - Mohamed Khider Airport,BSK
El Golea Airport,ELG
Noumérat - Moufdi Zakaria Airport,GHA
Hassi Messaoud-Oued Irara Krim Belkacem Airport,HME
In Salah Airport,INZ
Touggourt Sidi Madhi Airport,TGR
Guemar Airport - مطار قمار بالوادي,ELU
Timimoun Airport,TMX
Ain Beida Airport,OGX
Zarzaitine - In Aménas Airport,IAM
Cadjehoun Airport,COO
Ouagadougou Airport,OUA
Bobo Dioulasso Airport,BOY
Kotoka International Airport,ACC
Tamale Airport,TML
Kumasi Airport,KMS
Sunyani Airport,NYI
Takoradi Airport,TKD
Félix-Houphouët-Boigny International Airport,ABJ
Bouaké Airport,BYK
Korhogo Airport,HGO
San Pedro Airport,SPY
Nnamdi Azikiwe International Airport,ABV
Akwa Ibom International Airport,QUO
Akure Airport,AKR
Sir Abubakar Tafawa Balewa International Airport,BCU
Benin Airport,BNI
Margaret Ekpo International Airport,CBQ
Akanu Ibiam International Airport,ENU
Gombe Lawanti International Airport,GMO
Ibadan Airport,IBA
Ilorin International Airport,ILR
Sam Mbakwe International Airport,QOW
Yakubu Gowon Airport,JOS
Kaduna Airport,KAD
Mallam Aminu International Airport,KAN
Maiduguri International Airport,MIU
Makurdi Airport,MDI
Murtala Muhammed International Airport,LOS
Port Harcourt International Airport,PHC
Sadiq Abubakar III International Airport,SKO
Warri Airport,QRW
Yola Airport,YOL
Diori Hamani International Airport,NIM
Mano Dayak International Airport,AJY
Zinder Airport,ZND
Tabarka-Aïn Draham International Airport,TBJ
Monastir Habib Bourguiba International Airport,MIR
Enfidha - Hammamet International Airport,NBE
Tunis Carthage International Airport,TUN
Gafsa Ksar International Airport,GAF
Gabès Matmata International Airport,GAE
Djerba Zarzis International Airport,DJE
Sfax Thyna International Airport,SFA
Tozeur Nefta International Airport,TOE
Lomé–Tokoin International Airport,LFW
Antwerp International Airport (Deurne),ANR
Brussels Airport,BRU
Brussels South Charleroi Airport,CRL
Liège Airport,LGG
Oostende-Brugge International Airport,OST
Heringsdorf Airport,HDF
Berlin Brandenburg Airport,BER
Dresden Airport,DRS
Erfurt-Weimar Airport,ERF
Frankfurt Airport,FRA
Münster Osnabrück Airport,FMO
Hamburg Helmut Schmidt Airport,HAM
Cologne Bonn Airport,CGN
Düsseldorf Airport,DUS
Munich Airport,MUC
Nuremberg Airport,NUE
Leipzig/Halle Airport,LEJ
Saarbrücken Airport,SCN
Stuttgart Airport,STR
Hannover Airport,HAJ
Bremen Airport,BRE
Frankfurt-Hahn Airport,HHN
Mannheim-City Airport,MHG
Lübeck Blankensee Airport,LBC
Memmingen Allgau Airport,FMM
Paderborn Lippstadt Airport,PAD
Weeze Airport,NRN
Dortmund Airport,DTM
Friedrichshafen Airport,FDH
Karlsruhe Baden-Baden Airport,FKB
Kassel Airport,KSF
Westerland Sylt Airport,GWT
Kärdla Airport,KDL
Kuressaare Airport,URE
Pärnu Airport,EPU
Lennart Meri Tallinn Airport,TLL
Tartu Airport,TAY
Enontekio Airport,ENF
Helsinki Vantaa Airport,HEL
Ivalo Airport,IVL
Joensuu Airport,JOE
Jyväskylä Airport,JYV
Kemi-Tornio Airport,KEM
Kajaani Airport,KAJ
Kokkola-Pietarsaari Airport,KOK
Kuusamo Airport,KAO
Kittilä Airport,KTT
Kuopio Airport,KUO
Lappeenranta Airport,LPP
Mariehamn Airport,MHQ
Oulu Airport,OUL
Pori Airport,POR
Rovaniemi Airport,RVN
Savonlinna Airport,SVL
Tampere-Pirkkala Airport,TMP
Turku Airport,TKU
Vaasa Airport,VAA
Belfast International Airport,BFS
George Best Belfast City Airport,BHD
City of Derry Airport,LDY
Birmingham Airport,BHX
Manchester Airport,MAN
Campbeltown Airport,CAL
Eday Airport,EOI
Cardiff International Airport,CWL
Bristol Airport,BRS
Liverpool John Lennon Airport,LPL
London Luton Airport,LTN
Bournemouth Airport,BOH
Southampton Airport,SOU
Cornwall Airport Newquay,NQY
Alderney Airport,ACI
Guernsey Airport,GCI
Jersey Airport,JER
London Gatwick Airport,LGW
London City Airport,LCY
London Heathrow Airport,LHR
London Southend Airport,SEN
Humberside Airport,HUY
Leeds Bradford Airport,LBA
Isle of Man Airport,IOM
Newcastle International Airport,NCL
Teesside International Airport,MME
East Midlands Airport,EMA
Kirkwall Airport,KOI
Sumburgh Airport,LSI
Wick John O'Groats Airport,WIC
Aberdeen International Airport,ABZ
Inverness Airport,INV
Glasgow Airport,GLA
Edinburgh Airport,EDI
Islay Airport,ILY
Glasgow Prestwick Airport,PIK
Benbecula Airport,BEB
Dundee Airport,DND
Stornoway Airport,SYY
Barra Airport,BRR
Tiree Airport,TRE
Norwich Airport,NWI
London Stansted Airport,STN
Exeter International Airport,EXT
Mount Pleasant Airport,MPN
Amsterdam Airport Schiphol,AMS
Maastricht Aachen Airport,MST
Eindhoven Airport,EIN
Groningen Airport Eelde,GRQ
Rotterdam The Hague Airport,RTM
Cork Airport,ORK
Donegal Airport,CFN
Dublin Airport,DUB
Ireland West Knock Airport,NOC
Kerry Airport,KIR
Shannon Airport,SNN
Aarhus Airport,AAR
Billund Airport,BLL
Copenhagen Kastrup Airport,CPH
Esbjerg Airport,EBJ
Midtjyllands Airport / Air Base Karup,KRP
Odense Hans Christian Andersen Airport,ODE
Copenhagen Roskilde Airport,RKE
Bornholm Airport,RNN
Sønderborg Airport,SGD
Vágar Airport,FAE
Aalborg Airport,AAL
Luxembourg-Findel International Airport,LUX
"Ålesund Airport, Vigra",AES
"Andøya Airport, Andenes",ANX
Alta Airport,ALF
"Brønnøysund Airport, Brønnøy",BNN
Bodø Airport,BOO
"Bergen Airport, Flesland",BGO
Båtsfjord Airport,BJF
Berlevåg Airport,BVG
"Kristiansand Airport, Kjevik",KRS
Bardufoss Airport,BDU
"Harstad/Narvik Airport, Evenes",EVE
Florø Airport,FRO
"Oslo Airport, Gardermoen",OSL
"Haugesund Airport, Karmøy",HAU
Hammerfest Airport,HFT
"Honningsvåg Airport, Valan",HVG
"Kristiansund Airport, Kvernberget",KSU
"Kirkenes Airport, Høybuktmoen",KKN
Leknes Airport,LKN
Mehamn Airport,MEH
"Molde Airport, Årø",MOL
"Mosjøen Airport, Kjærstad",MJF
"Lakselv Airport, Banak",LKL
Ørland Airport,OLA
"Ørsta-Volda Airport, Hovden",HOV
"Mo i Rana Airport, Røssvoll",MQN
"Rørvik Airport, Ryum",RVK
Røros Airport,RRS
"Svalbard Airport, Longyear",LYR
"Svolvær Airport, Helle",SVJ
"Stokmarknes Airport, Skagen",SKN
"Stord Airport, Sørstokken",SRP
Sørkjosen Airport,SOJ
"Vardø Airport, Svartnes",VAW
"Sandnessjøen Airport, Stokka",SSJ
"Tromsø Airport, Langnes",TOS
"Sandefjord Airport, Torp",TRF
"Trondheim Airport, Værnes",TRD
Vadsø Airport,VDS
"Stavanger Airport, Sola",SVG
Bydgoszcz Ignacy Jan Paderewski Airport,BZG
Gdańsk Lech Wałęsa Airport,GDN
Kraków John Paul II International Airport,KRK
Katowice Wojciech Korfanty International Airport,KTW
Lublin Airport,LUZ
Łódź Władysław Reymont Airport,LCJ
Modlin Airport,WMI
Poznań-Ławica Airport,POZ
Warsaw Radom Airport,RDO
Rzeszów-Jasionka Airport,RZE
Solidarity Szczecin–Goleniów Airport,SZZ
Olsztyn-Mazury Airport,SZY
Warsaw Chopin Airport,WAW
Copernicus Wrocław Airport,WRO
Zielona Góra-Babimost Airport,IEG
Ronneby Airport,RNB
Göteborg Landvetter Airport,GOT
Jönköping Airport,JKG
Trollhättan-Vänersborg Airport,THN
Mora Airport,MXX
Stockholm Skavsta Airport,NYO
Scandinavian Mountains Airport,SCR
Kalmar Airport,KLR
Malmö Sturup Airport,MMX
Halmstad Airport,HAD
Växjö Kronoberg Airport,VXO
Gällivare Airport,GEV
Kramfors-Sollefteå Höga Kusten Airport,KRF
Lycksele Airport,LYC
Sundsvall-Härnösand Airport,SDL
Örnsköldsvik Airport,OER
Kiruna Airport,KRN
Skellefteå Airport,SFT
Umeå Airport,UME
Vilhelmina South Lapland Airport,VHM
Arvidsjaur Airport,AJR
Åre Östersund Airport,OSD
Örebro Airport,ORB
Karlstad Airport,KSD
Stockholm Västerås Airport,VST
Luleå Airport,LLA
Stockholm-Arlanda Airport,ARN
Stockholm-Bromma Airport,BMA
Dala Airport,BLE
Linköping City Airport,LPI
Norrköping Airport,NRK
Torsby Airport,TYF
Visby Airport,VBY
Ängelholm-Helsingborg Airport,AGH
Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,FCN
Rostock-Laage Airport,RLG
Riga International Airport,RIX
Kaunas International Airport,KUN
Palanga International Airport,PLQ
Vilnius International Airport,VNO
Bram Fischer International Airport,BFN
Cape Town International Airport,CPT
King Phalo Airport,ELS
George Airport,GRJ
Kimberley Airport,KIM
Kruger Mpumalanga International Airport,MQP
Lanseria International Airport,HLA
King Shaka International Airport,DUR
Margate Airport,MGH
Mmabatho International Airport,MBD
O.R. Tambo International Airport,JNB
Chief Dawid Stuurman International Airport,PLZ
Hendrik Van Eck Airport,PHW
Pietermaritzburg Airport,PZB
Polokwane International Airport,PTG
Richards Bay Airport,RCB
Sishen Airport,SIS
Pierre Van Ryneveld Airport,UTN
K. D. Matanzima Airport,UTT
P G Matante Intl,FRW
Kasane Airport,BBK
Maun Airport,MUB
Sir Seretse Khama International Airport,GBE
Maya-Maya Airport,BZV
Antonio Agostinho-Neto International Airport,PNR
King Mswati III International Airport,SHO
Bangui M'Poko International Airport,BGF
Bata Airport,BSG
Malabo Airport,SSG
RAF Ascension Island,ASI
Sir Seewoosagur Ramgoolam International Airport,MRU
Sir Charles Gaetan Duval Airport,RRG
Douala International Airport,DLA
Salak Airport,MVR
N'Gaoundéré Airport,NGE
Garoua International Airport,GOU
Yaoundé Nsimalen International Airport,NSI
Harry Mwanga Nkumbula International Airport,LVI
Kenneth Kaunda International Airport,LUN
Mfuwe Airport,MFU
Simon Mwansa Kapwepwe International Airport,NLA
Prince Said Ibrahim International Airport,HAH
Ouani Airport,AJN
Dzaoudzi Pamandzi International Airport,DZA
Roland Garros Airport,RUN
Pierrefonds Airport,ZSE
Ivato Airport,TNR
Sainte Marie Airport,SMS
Toamasina Ambalamanasy Airport,TMM
Morondava Airport,MOQ
Arrachart Airport,DIE
Amborovy Airport,MJN
Fascene Airport,NOS
Besalampy Airport,BPY
Maroantsetra Airport,WMN
Sambava Airport,SVB
Tôlanaro Airport,FTU
Mananjary Airport,MNJ
Toliara Airport,TLE
Mbanza Congo Airport,SSY
Cabinda Airport,CAB
Catumbela Airport,CBT
Dundo Airport,DUE
Ngjiva Pereira Airport,VPE
Albano Machado Airport,NOV
Quatro de Fevereiro International Airport,LAD
Malanje Airport,MEG
Menongue Airport,SPP
Welwitschia Mirabilis International Airport,MSZ
Negage Airport,GXG
Soyo Airport,SZA
Lubango Airport,SDD
Oyem Airport,OYE
Port Gentil Airport,POG
Makokou Airport,MKU
Libreville Leon M'ba International Airport,LBV
M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB
Principe Airport,PCP
São Tomé International Airport,TMS
Beira Airport,BEW
Chimoio Airport,VPY
Inhambane Airport,INH
Lichinga Airport,VXC
Maputo Airport,MPM
Nampula Airport,APL
Pemba Airport,POL
Quelimane Airport,UEL
Chingozi Airport,TET
Vilankulo Airport,VNX
Seychelles International Airport,SEZ
Praslin Island Airport,PRI
Abeche Airport,AEH
N'Djamena International Airport,NDJ
Joshua Mqabuko Nkomo International Airport,BUQ
Victoria Falls International Airport,VFA
Robert Gabriel Mugabe International Airport,HRE
Chileka International Airport,BLZ
Kamuzu International Airport,LLW
Moshoeshoe I International Airport,MSU
Katima Mulilo Airport,MPA
Luderitz Airport,LUD
Ondangwa Airport,OND
Oranjemund Airport,OMD
Rundu Airport,NDU
Walvis Bay Airport,WVB
Eros Airport,ERS
Hosea Kutako International Airport,WDH
Ndjili International Airport,FIH
Bandundu Airport,FDU
Kikwit Airport,KKW
Mbandaka Airport,MDK
Gbadolite Airport,BDT
Gemena Airport,GMA
Bangoka International Airport,FKI
Matari Airport,IRP
Bunia Airport,BUX
Goma International Airport,GOM
Kindu Airport,KND
Lubumbashi International Airport,FBM
Kolwezi Airport,KWZ
Kalemie Airport,FMI
Kananga Airport,KGA
Mbuji Mayi Airport,MJM
Modibo Keita International Airport,BKO
Gao Airport,GAQ
Mopti Ambodédjo International Airport,MZI
Timbuktu Airport,TOM
Banjul International Airport,BJL
Fuerteventura Airport,FUE
El Hierro Airport,VDE
La Palma Airport,SPC
Gran Canaria Airport,LPA
César Manrique-Lanzarote Airport,ACE
Tenerife Sur Airport,TFS
Tenerife Norte-Ciudad de La Laguna Airport,TFN
Melilla Airport,MLN
Lungi International Airport,FNA
Osvaldo Vieira International Airport,OXB
Spriggs Payne Airport,MLW
Roberts International Airport,ROB
Al Massira Airport,AGA
Tan Tan Airport,TTA
Fes Saïss International Airport,FEZ
Moulay Ali Cherif Airport,ERH
Oujda Angads Airport,OUD
Rabat-Salé Airport,RBA
Dakhla Airport,VIL
Essaouira-Mogador Airport,ESU
Hassan I Airport,EUN
Mohammed V International Airport,CMN
Nador Al Aaroui International Airport,NDR
Menara Airport,RAK
Ouarzazate Airport,OZZ
Sania Ramel Airport,TTU
Tangier Ibn Battuta Airport,TNG
Blaise Diagne International Airport,DSS
Cap Skirring Airport,CSK
Nouakchott–Oumtounsy International Airport,NKC
Nouadhibou International Airport,NDB
Conakry International Airport,CKY
Amílcar Cabral International Airport,SID
Rabil Airport,BVC
Maio Airport,MMO
Nelson Mandela International Airport,RAI
Preguiça Airport,SNE
São Pedro Airport,VXE
Addis Ababa Bole International Airport,ADD
Arba Minch Airport,AMH
Axum Airport,AXU
Bahir Dar Airport,BJR
Aba Tenna Dejazmach Yilma International Airport,DIR
Gambela Airport,GMB
Gondar Airport,GDQ
Gode Airport,GDE
Wilwal International Airport,JIJ
Jimma Airport,JIM
Kebri Dahar Airport,ABK
Hawassa International Airport,AWA
Alula Aba Nega Airport,MQX
Asosa Airport,ASO
Bujumbura Melchior Ndadaye International Airport,BJM
Egal International Airport,HGA
Berbera Airport,BBO
Aden Adde International Airport,MGQ
Djibouti-Ambouli Airport,JIB
El Alamein International Airport,DBB
El Arish International Airport,AAC
Asyut International Airport,ATZ
Alexandria International Airport,HBE
Abu Simbel Airport,ABS
Cairo International Airport,CAI
Hurghada International Airport,HRG
Luxor International Airport,LXR
Marsa Alam International Airport,RMF
Marsa Matruh International Airport,MUH
Sohag International Airport,HMB
Sharm El Sheikh International Airport,SSH
Aswan International Airport,ASW
Sphinx International Airport,SPX
Taba International Airport,TCP
Asmara International Airport,ASM
Assab International Airport,ASA
Juba International Airport,JUB
Amboseli Airport,ASV
Eldoret International Airport,EDL
Jomo Kenyatta International Airport,NBO
Kisumu Airport,KIS
Manda Airport,LAU
Malindi Airport,MYD
Moi International Airport,MBA
Mara Serena Lodge Airstrip,MRE
Nanyuki Airport,NYK
Nairobi Wilson Airport,WIL
Wajir Airport,WJR
Ghat Airport,GHT
Kufra Airport,AKF
Benina International Airport,BEN
Mitiga International Airport,MJI
Al Abraq International Airport,LAQ
Sabha Airport,SEB
Kigali International Airport,KGL
Kamembe Airport,KME
Dongola Airport,DOG
El Fasher Airport,ELF
Kassala Airport,KSL
Nyala Airport,UYL
El-Obeid Airport,EBD
Port Sudan New International Airport,PZU
Khartoum International Airport,KRT
Arusha Airport,ARK
Julius Nyerere International Airport,DAR
Dodoma Airport,DOD
Songwe Airport,MBI
Kilimanjaro International Airport,JRO
Mtwara Airport,MYW
Mwanza Airport,MWZ
Tanga Airport,TGT
Abeid Amani Karume International Airport,ZNZ
Arua Airport,RUA
Entebbe International Airport,EBB
Gulu Airport,ULU
Soroti Airport,SRT
Bilorai Airport,UGU
Ayodhya Airport,AYJ
Sindhudurg Airport,SDW
Navi Mumbai International Airport,NMI
Itanagar Donyi Polo Hollongi Airport,HGI
Maa Mahamaya Airport,AHA
Boulder City Municipal Airport,BLD
Lehigh Valley International Airport,ABE
Abilene Regional Airport,ABI
Albuquerque International Sunport,ABQ
Aberdeen Regional Airport,ABR
Southwest Georgia Regional Airport,ABY
Nantucket Memorial Airport,ACK
Waco Regional Airport,ACT
California Redwood Coast-Humboldt County Airport,ACV
Atlantic City International Airport,ACY
Alexandria International Airport,AEX
Augusta Regional At Bush Field,AGS
Alliance Municipal Airport,AIA
Albany International Airport,ALB
Waterloo Regional Airport,ALO
San Luis Valley Regional Airport/Bergman Field,ALS
Walla Walla Regional Airport,ALW
Rick Husband Amarillo International Airport,AMA
Altoona Blair County Airport,AOO
Alpena County Regional Airport,APN
Watertown International Airport,ART
Aspen-Pitkin County Airport (Sardy Field),ASE
Hartsfield Jackson Atlanta International Airport,ATL
Appleton International Airport,ATW
Watertown Regional Airport,ATY
Augusta State Airport,AUG
Austin Bergstrom International Airport,AUS
Asheville Regional Airport,AVL
Wilkes Barre Scranton International Airport,AVP
Kalamazoo Battle Creek International Airport,AZO
Branson Airport,BKG
Bradley International Airport,BDL
Laurence G Hanscom Field,BED
Bradford Regional Airport,BFD
Western Neb. Rgnl/William B. Heilig Airport,BFF
Boeing Field King County International Airport,BFI
Meadows Field,BFL
Greater Binghamton/Edwin A Link field,BGM
Bangor International Airport,BGR
Hancock County-Bar Harbor Airport,BHB
Birmingham-Shuttlesworth International Airport,BHM
Eastern Sierra Regional Airport,BIH
Billings Logan International Airport,BIL
Bismarck Municipal Airport,BIS
Rocky Mountain Metropolitan Airport,BJC
Raleigh County Memorial Airport,BKW
Bellingham International Airport,BLI
Scott AFB/Midamerica Airport,BLV
Central Illinois Regional Airport at Bloomington-Normal,BMI
Nashville International Airport,BNA
Boise Air Terminal/Gowen Field,BOI
Logan International Airport,BOS
Jack Brooks Regional Airport,BPT
Brunswick Golden Isles Airport,BQK
Brainerd Lakes Regional Airport,BRD
Southeast Iowa Regional Airport,BRL
Brownsville South Padre Island International Airport,BRO
Bert Mooney Airport,BTM
Baton Rouge Metropolitan Airport,BTR
Burlington International Airport,BTV
Buffalo Niagara International Airport,BUF
Hollywood Burbank Airport,BUR
Baltimore/Washington International Thurgood Marshall Airport,BWI
Bozeman Yellowstone International Airport,BZN
Columbia Metropolitan Airport,CAE
Akron Canton Regional Airport,CAK
Buchanan Field,CCR
Cedar City Regional Airport,CDC
Chadron Municipal Airport,CDR
Jack Mc Namara Field Airport,CEC
Cortez Municipal Airport,CEZ
Cape Girardeau Regional Airport,CGI
Chattanooga Metropolitan Airport (Lovell Field),CHA
Charlottesville Albemarle Airport,CHO
Charleston International Airport,CHS
The Eastern Iowa Airport,CID
Chippewa County International Airport,CIU
North Central West Virginia Airport,CKB
Cleveland Hopkins International Airport,CLE
Easterwood Field,CLL
Charlotte Douglas International Airport,CLT
John Glenn Columbus International Airport,CMH
University of Illinois Willard Airport,CMI
Houghton County Memorial Airport,CMX
Cavern City Air Terminal,CNM
Canyonlands Regional Airport,CNY
Yellowstone Regional Airport,COD
City of Colorado Springs Municipal Airport,COS
Columbia Regional Airport,COU
Casper-Natrona County International Airport,CPR
Corpus Christi International Airport,CRP
McClellan-Palomar Airport,CLD
Yeager Airport,CRW
Columbus Metropolitan Airport,CSG
Cincinnati Northern Kentucky International Airport,CVG
Clovis Municipal Airport,CVN
Central Wisconsin Airport,CWA
Cheyenne Regional Jerry Olson Field,CYS
Daytona Beach International Airport,DAB
Dallas Love Field,DAL
James M Cox Dayton International Airport,DAY
Dubuque Regional Airport,DBQ
Ronald Reagan Washington National Airport,DCA
Dodge City Regional Airport,DDC
Decatur Airport,DEC
Denver International Airport,DEN
Dallas Fort Worth International Airport,DFW
Dothan Regional Airport,DHN
Dickinson Theodore Roosevelt Regional Airport,DIK
Duluth International Airport,DLH
Durango La Plata County Airport,DRO
Des Moines International Airport,DSM
Destin Executive Airport,DSI
Detroit Metropolitan Wayne County Airport,DTW
DuBois Regional Airport,DUJ
Devils Lake Regional Airport,DVL
Kearney Regional Airport,EAR
Pangborn Memorial Airport,EAT
Chippewa Valley Regional Airport,EAU
Northwest Florida Beaches International Airport,ECP
Eagle County Regional Airport,EGE
Elko Regional Airport,EKO
South Arkansas Regional Airport at Goodwin Field,ELD
Elmira Corning Regional Airport,ELM
El Paso International Airport,ELP
Erie International Tom Ridge Field,ERI
Delta County Airport,ESC
Mahlon Sweet Field,EUG
Evansville Regional Airport,EVV
New Bedford Regional Airport,EWB
Coastal Carolina Regional Airport,EWN
Newark Liberty International Airport,EWR
Key West International Airport,EYW
Hector International Airport,FAR
Fresno Yosemite International Airport,FAT
Fayetteville Regional Airport - Grannis Field,FAY
Friday Harbor Airport,FRD
Flagstaff Pulliam International Airport,FLG
Fort Lauderdale Hollywood International Airport,FLL
Florence Regional Airport,FLO
Bishop International Airport,FNT
Fort Dodge Regional Airport,FOD
Sioux Falls Regional Airport / Joe Foss Field,FSD
Fort Smith Regional Airport,FSM
Fort Wayne International Airport,FWA
Northeast Wyoming Regional Airport,GCC
Garden City Regional Airport,GCK
Grand Canyon National Park Airport,GCN
Dawson Community Airport,GDV
